Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
AMD Ryzen 5 5600G x 1,,19.314977225878927,,,,-2.9444389791664407,,6.19644412779452,,,,,,,-7.922623574217286
AMD Ryzen 5 5600X x 1,,19.299244628060507,,-7.309212365692763,8.458292083496076,-2.70805020110221,-3.4965075614664802,6.26530121273771,,-8.420682291035394,,-6.556778356158042,-5.402677381872279,16.29558119975945,-7.8168199657645525
AMD Ryzen 5 7600 x 1,,19.776472339937897,1.9459101490553132,,,,,6.647688373563329,,-7.925518979786926,,-6.400257445308821,-5.049856007249537,16.611445193719224,
AMD Ryzen 5 7600X x 1,-10.609304136196736,19.719008907841374,1.9459101490553132,-6.920671504248683,8.899867211223587,-2.70805020110221,,6.754604099487962,,-7.941651252930556,,-6.320768294250582,-4.983606621708336,,-7.195937226475569
AMD Ryzen 5 8400F x 1,,,,,,,,6.480044561926653,,-7.8838232148921525,,-6.386879319362645,-5.0875963352323845,16.52456918376867,
AMD Ryzen 5 8500G x 1,,19.809751995939507,,,,,,6.525029657843462,,,,,,,
AMD Ryzen 5 8600G x 1,,19.81888939717946,2.0794415416798357,,9.079206103951382,-2.772588722239781,,6.555356891810665,,-7.88758403166028,,-6.329720905522696,-5.1298987149230735,16.533631016721547,-7.389563953677635
AMD Ryzen 5 9600X x 1,,,1.9459101490553132,,,,,6.948897222313312,,-7.822845290279774,-4.465908118654584,-6.025865973825314,-4.875197323201151,16.739529727837954,
AMD Ryzen 5 PRO 4650G x 1,,,,,,,,,,,,-6.831953565565855,,,
AMD Ryzen 5 PRO 6650U x 1,,19.249803481482125,,,,,,,,,,-6.721425700790643,,,
AMD Ryzen 7 1700 Eight-Core x 1,-11.17484794056376,19.37764083149806,,-7.581719640125308,8.67965211911394,-2.9444389791664407,,5.572154032177765,,,,-7.336285660021297,,,
AMD Ryzen 7 1700X Eight-Core x 1,,,,,,-2.833213344056216,,5.552959584921617,,,,,,,
AMD Ryzen 7 1800X Eight-Core x 1,,19.371966283946204,,,,-2.772588722239781,,5.627621113690637,,,,-7.156176637480615,,,
